,1k-RS,2k-RS,3k-RS,4k-RS,5k-RS,6k-RS,7k-RS,8k-RS,9k-RS,10k-RS
0,1.463,1.487,0.964,4.197,0.857,1.306,1.796,1.163,1.835,1.47
1,0.148,0.093,0.243,0.126,0.124,0.386,0.398,0.851,0.965,0.184
2,0.134,0.174,0.298,0.047,0.148,0.193,0.175,0.149,0.496,0.296
3,0.096,0.243,1.237,0.761,0.108,1.439,0.437,1.019,0.112,0.139
4,0.118,0.231,0.103,0.079,1.863,0.148,1.896,0.447,0.865,1.783
5,0.059,0.164,0.076,2.019,0.137,0.146,0.118,0.536,0.369,0.123
6,0.163,0.289,0.134,0.136,0.055,0.927,0.109,0.081,0.278,0.309
7,0.032,0.167,0.094,0.056,2.157,0.098,0.874,0.083,0.294,0.279
8,0.034,0.121,0.154,0.069,0.073,0.166,0.327,0.41,0.158,0.21
9,0.137,1.058,0.281,0.055,0.059,0.124,0.294,0.078,0.057,0.251
10,0.039,0.173,1.754,0.263,0.078,0.108,0.197,0.086,0.21,0.113
11,0.023,0.146,0.138,0.082,0.061,0.134,0.236,0.152,0.272,0.238
12,0.033,0.083,0.039,0.047,1.437,0.213,0.062,1.019,0.069,0.303
13,0.333,0.193,0.083,0.089,0.075,0.146,0.157,0.064,0.269,0.137
14,0.042,0.194,0.193,0.061,0.183,0.117,0.392,0.157,0.037,0.232
15,0.064,0.05,0.212,0.051,0.06,0.109,0.067,0.207,0.085,0.108
16,0.023,0.174,0.11,0.054,0.075,0.976,0.13,0.059,0.096,0.093
17,0.013,1.044,2.375,0.638,1.572,0.069,0.187,0.146,0.379,0.258
18,0.049,0.071,0.068,0.059,0.089,0.089,0.168,0.754,1.064,0.472
19,0.249,0.037,1.036,0.365,0.048,0.074,0.052,0.048,0.197,0.212
20,0.074,0.137,0.207,0.112,0.08,0.127,0.284,0.311,0.197,0.109
21,0.062,0.121,4.839,0.073,0.053,0.139,0.274,0.051,0.061,0.074
22,0.057,0.11,0.096,0.237,0.293,0.087,0.064,0.636,0.112,0.359
23,0.022,0.085,0.148,5.836,2.186,0.157,0.062,0.049,0.266,0.317
24,0.056,0.161,0.076,0.067,0.052,0.116,0.055,0.165,0.158,0.241
25,0.019,0.039,0.098,0.059,0.158,0.094,0.285,0.05,0.078,0.088
26,0.08,0.157,0.049,0.311,0.077,1.476,0.068,0.456,0.262,0.287
27,0.033,0.164,0.318,0.609,0.634,0.121,0.198,0.476,0.196,0.596
28,0.012,0.068,0.098,1.243,0.083,0.097,0.274,0.243,0.069,0.174
29,0.011,0.078,0.388,0.071,1.648,0.126,0.063,0.276,0.087,0.067
mean,0.1226,0.24373333333333333,0.5303,0.5957333333333333,0.48410000000000003,0.31693333333333334,0.32330000000000003,0.34073333333333333,0.31976666666666664,0.31739999999999996
