,1k-RS,2k-RS,3k-RS,4k-RS,5k-RS,6k-RS,7k-RS,8k-RS,9k-RS,10k-RS
0,1.963,1.978,1.279,6.542,1.394,1.409,2.177,1.349,2.193,1.702
1,0.165,0.11,0.448,0.154,0.189,0.424,0.577,1.185,1.189,0.249
2,0.152,0.226,0.557,0.047,0.196,0.22,0.211,0.174,0.496,0.327
3,0.116,0.372,1.445,0.991,0.108,1.886,0.611,1.028,0.112,0.231
4,0.118,0.25,0.115,0.079,2.259,0.161,2.967,0.447,1.268,2.393
5,0.103,0.386,0.076,3.069,0.137,0.16,0.112,0.536,0.369,0.129
6,0.219,0.421,0.134,0.136,0.055,1.107,0.109,0.19,0.336,0.328
7,0.032,0.216,0.094,0.056,3.339,0.178,1.016,0.083,0.35,0.289
8,0.017,0.121,0.154,0.069,0.073,0.168,0.428,0.592,0.292,0.232
9,0.189,1.301,0.281,0.055,0.059,0.133,0.334,0.078,0.057,0.258
10,0.039,0.234,2.179,0.495,0.078,0.103,0.265,0.086,0.271,0.113
11,0.023,0.168,0.185,0.082,0.061,0.11,0.336,0.249,0.272,0.305
12,0.033,0.127,0.073,0.063,2.589,0.24,0.062,1.019,0.069,0.502
13,0.333,0.193,0.083,0.089,0.075,0.186,0.283,0.064,0.395,0.122
14,0.042,0.281,0.272,0.095,0.343,0.138,0.568,0.157,0.045,0.232
15,0.07,0.05,0.224,0.051,0.06,0.118,0.067,0.207,0.085,0.108
16,0.023,0.283,0.128,0.054,0.075,1.16,0.13,0.059,0.096,0.093
17,0.013,1.235,4.675,0.792,2.776,0.069,0.3,0.205,0.379,0.403
18,0.059,0.071,0.06,0.059,0.089,0.077,0.259,0.872,1.337,0.607
19,0.341,0.017,1.289,0.458,0.048,0.074,0.052,0.048,0.258,0.212
20,0.083,0.163,0.207,0.184,0.08,0.135,0.284,0.429,0.243,0.218
21,0.087,0.139,6.801,0.073,0.053,0.17,0.274,0.051,0.061,0.074
22,0.073,0.13,0.096,0.437,0.293,0.115,0.064,0.852,0.155,0.359
23,0.022,0.12,0.188,7.546,3.008,0.166,0.062,0.049,0.266,0.317
24,0.056,0.174,0.075,0.067,0.052,0.127,0.055,0.277,0.26,0.241
25,0.019,0.019,0.097,0.059,0.187,0.105,0.313,0.05,0.078,0.088
26,0.089,0.178,0.049,0.311,0.077,2.356,0.068,0.7,0.262,0.199
27,0.033,0.205,0.421,0.792,0.851,0.121,0.362,0.72,0.232,0.596
28,0.012,0.068,0.098,1.75,0.083,0.097,0.269,0.359,0.062,0.174
29,0.011,0.078,0.452,0.071,2.299,0.15,0.063,0.559,0.069,0.067
mean,0.15116666666666664,0.3104666666666666,0.7411666666666666,0.8242,0.6995333333333333,0.38876666666666665,0.42260000000000003,0.42246666666666666,0.38523333333333337,0.37226666666666663
