,1-PV,2-PV,3-PV,4-PV,5-PV,6-PV,7-PV,8-PV,9-PV,10-PV
0,1.028,1.015,0.953,1.194,2.937,1.031,1.231,1.392,1.61,1.741
1,0.045,0.119,0.618,0.271,0.163,0.127,0.139,2.179,0.983,0.388
2,0.069,0.213,0.124,0.098,0.925,0.178,0.179,0.211,0.245,0.368
3,0.037,0.091,0.293,0.12,1.382,0.148,0.521,0.331,0.601,0.177
4,0.04,0.082,0.081,0.107,0.093,0.119,0.109,0.303,0.164,0.286
5,0.041,0.088,0.089,0.126,0.106,0.151,0.135,0.309,1.029,0.214
6,0.089,0.104,0.121,0.375,0.131,0.076,0.151,0.29,0.103,1.094
7,0.037,0.082,2.019,1.162,0.097,0.117,0.136,0.231,0.202,0.972
8,0.034,0.08,0.069,0.115,0.113,0.121,0.189,0.201,0.11,2.546
9,0.046,0.027,0.209,0.105,0.137,0.126,0.098,0.178,0.242,0.304
10,0.039,0.093,1.503,0.132,0.112,0.103,0.058,0.119,0.164,0.247
11,0.041,0.064,0.051,0.077,0.21,0.141,0.11,0.121,0.182,0.132
12,0.049,0.071,0.048,0.215,0.121,0.081,0.087,0.178,0.195,0.254
13,0.039,0.079,0.046,0.064,0.107,0.092,0.083,0.119,0.662,0.196
14,0.031,0.078,0.047,0.11,0.118,0.064,0.087,0.135,0.138,0.186
15,0.037,0.085,0.073,0.151,0.337,0.066,0.084,0.092,0.082,1.05
16,0.042,0.085,0.304,0.083,0.119,0.071,0.078,0.118,0.13,0.131
17,0.037,0.071,0.067,0.089,0.365,0.048,1.079,0.125,0.139,0.184
18,0.037,0.081,0.053,0.047,0.068,0.091,1.108,0.168,0.121,0.176
19,0.032,0.167,0.155,0.072,0.065,0.971,0.085,0.172,0.149,0.214
20,0.033,1.089,0.916,0.087,0.081,0.247,0.129,0.092,0.738,5.802
21,0.03,0.082,0.052,0.108,0.082,0.184,0.066,0.102,1.093,1.194
22,0.034,0.093,0.055,0.081,0.086,1.183,0.412,0.107,0.167,0.583
23,0.031,0.073,0.11,0.091,0.07,0.074,0.068,0.136,0.171,0.174
24,0.029,0.06,0.069,0.072,1.071,0.056,0.087,0.109,0.116,1.261
25,0.033,0.082,0.063,0.094,0.097,0.072,0.048,0.12,0.163,0.365
26,0.035,0.073,0.07,0.076,0.095,0.083,0.125,0.099,0.209,0.147
27,0.035,0.074,0.101,0.074,0.075,0.073,0.084,0.078,0.147,1.859
28,0.033,0.074,0.112,0.051,0.081,0.111,0.079,0.291,0.158,0.225
29,0.034,0.084,0.112,,0.092,0.075,0.098,0.121,0.174,1.044
mean,0.07256666666666667,0.15196666666666667,0.2861,0.18782758620689655,0.3178666666666667,0.20266666666666666,0.23143333333333332,0.27423333333333333,0.34623333333333334,0.7837999999999999
