,1-PV,2-PV,3-PV,4-PV,5-PV,6-PV,7-PV,8-PV,9-PV,10-PV
0,0.418,0.248,0.316,0.346,0.274,0.444,0.455,0.741,0.423,0.528
1,0.407,0.397,0.415,0.214,0.359,0.431,0.487,0.609,0.441,2.984
2,0.441,0.296,0.321,0.224,0.32,0.413,0.822,0.894,0.48,0.28
3,0.417,0.284,0.312,0.218,0.257,0.417,0.226,0.604,0.337,0.514
4,0.492,0.226,0.33,0.369,0.314,0.435,0.264,0.525,0.335,0.565
5,0.423,0.489,0.652,0.233,0.236,0.719,0.237,0.606,0.363,0.252
6,0.448,0.34,0.379,0.237,0.223,0.775,0.327,1.507,0.36,0.301
7,0.207,2.621,3.922,0.231,0.464,0.325,0.301,0.708,3.128,0.55
8,0.237,0.497,0.351,0.268,0.378,0.242,0.655,0.332,0.403,2.578
9,0.269,0.418,1.036,0.281,0.316,0.218,0.689,0.34,3.104,0.341
10,0.235,0.266,0.666,0.272,0.239,0.327,0.712,0.333,0.391,0.593
11,0.337,0.439,0.314,0.342,0.311,0.382,0.951,0.312,0.31,2.688
12,0.284,0.238,0.31,0.308,0.268,0.7,4.158,0.244,0.336,2.511
13,0.26,0.215,0.334,0.241,0.228,0.376,3.641,0.406,0.328,0.329
14,0.405,0.45,0.366,0.35,2.638,0.691,0.769,0.469,0.447,0.509
15,0.489,0.25,0.365,0.568,0.234,0.536,0.243,0.552,3.183,0.464
16,0.324,0.221,0.343,0.584,0.244,0.243,3.104,0.353,0.298,0.253
17,0.29,0.211,0.877,0.369,0.393,0.271,0.334,0.441,0.551,0.542
18,0.451,0.321,0.332,0.452,0.311,0.242,0.533,0.572,0.321,0.404
19,0.344,0.629,1.293,0.351,0.241,0.265,0.39,0.29,0.288,0.617
20,0.251,0.272,0.395,0.287,0.22,0.319,0.542,0.236,3.026,0.316
21,0.287,0.28,0.356,0.245,0.23,0.228,0.247,0.339,3.095,0.244
22,0.262,0.236,0.399,0.225,0.264,0.231,0.257,0.318,0.306,0.753
23,0.209,0.21,0.344,0.412,0.414,0.25,0.507,0.388,0.327,1.015
24,0.237,0.234,0.451,0.278,0.36,0.304,0.455,0.346,0.406,2.961
25,0.226,0.263,0.391,0.204,12.658,0.238,9.5,0.551,3.037,0.223
26,0.214,0.209,0.322,0.324,0.562,0.244,0.28,0.341,0.419,0.619
27,0.217,0.229,7.362,1.904,0.589,0.462,0.324,0.809,2.916,2.552
28,0.26,0.293,0.385,0.502,0.317,0.304,0.447,1.041,0.446,0.45
29,0.402,0.815,0.359,0.226,5.207,0.292,1.178,0.748,0.384,0.244
mean,0.3247666666666667,0.4032333333333333,0.7999333333333333,0.3688333333333333,0.9689666666666666,0.37746666666666673,1.1011666666666668,0.5318333333333333,1.0063,0.9059999999999999
