,1-PV,2-PV,3-PV,4-PV,5-PV,6-PV,7-PV,8-PV,9-PV,10-PV
0,1.151,1.505,1.328,1.433,4.343,1.607,1.688,1.612,1.947,2.093
1,0.067,0.119,0.717,0.477,0.229,0.165,0.16,2.873,1.09,0.58
2,0.053,0.253,0.124,0.098,0.925,0.202,0.229,0.378,0.433,0.41
3,0.037,0.094,0.339,0.101,1.986,0.197,0.543,0.337,0.691,0.369
4,0.04,0.085,0.081,0.107,0.093,0.131,0.171,0.303,0.262,0.378
5,0.041,0.087,0.089,0.126,0.125,0.151,0.135,0.309,1.321,0.309
6,0.046,0.114,0.127,0.483,0.143,0.123,0.151,0.29,0.293,1.404
7,0.037,0.082,2.749,1.361,0.097,0.117,0.136,0.231,0.562,1.182
8,0.046,0.08,0.069,0.115,0.128,0.155,0.2,0.277,0.18,4.58
9,0.046,0.086,0.209,0.105,0.149,0.14,0.111,0.217,0.224,0.304
10,0.041,0.093,3.523,0.132,0.112,0.117,0.097,0.231,0.215,0.247
11,0.041,0.064,0.051,0.077,0.253,0.162,0.11,0.185,0.185,0.254
12,0.042,0.071,0.048,0.215,0.138,0.083,0.087,0.199,0.195,0.254
13,0.039,0.079,0.046,0.064,0.111,0.092,0.083,0.145,0.925,0.211
14,0.038,0.078,0.047,0.11,0.128,0.097,0.087,0.181,0.161,0.257
15,0.037,0.085,0.073,0.293,0.413,0.091,0.084,0.131,0.179,1.356
16,0.048,0.085,0.374,0.083,0.131,0.082,0.078,0.141,0.166,0.23
17,0.037,0.071,0.067,0.089,0.401,0.072,1.249,0.125,0.167,0.238
18,0.037,0.087,0.053,0.099,0.068,0.091,1.425,0.168,0.183,0.228
19,0.032,0.167,0.155,0.072,0.065,1.045,0.085,0.178,0.174,0.268
20,0.033,1.389,1.266,0.101,0.081,0.564,0.146,0.192,1.022,6.822
21,0.03,0.082,0.052,0.113,0.082,0.184,0.066,0.108,1.203,1.405
22,0.034,0.093,0.055,0.095,0.086,1.395,0.607,0.133,0.167,0.79
23,0.031,0.073,0.14,0.091,0.07,0.074,0.068,0.156,0.175,0.294
24,0.03,0.071,0.069,0.086,1.247,0.081,0.123,0.109,0.173,1.889
25,0.033,0.082,0.063,0.094,0.097,0.072,0.069,0.128,0.265,0.52
26,0.035,0.083,0.07,0.076,0.095,0.083,0.116,0.136,0.217,0.263
27,0.035,0.074,0.187,0.1,0.119,0.073,0.084,0.178,0.201,2.265
28,0.033,0.137,0.112,0.058,0.088,0.135,0.079,0.399,0.214,0.225
29,0.034,0.084,0.151,,0.097,0.075,0.078,0.121,0.338,1.545
mean,0.07613333333333334,0.1851,0.41446666666666665,0.22255172413793103,0.4033333333333333,0.2552,0.2781666666666667,0.33903333333333335,0.45093333333333335,1.039
